Lokalizacja,nr_stacji,id_stacji,szer_geogr,dl_geogr
Pl. Kromera,1,349478,51.13207714749649,17.06550121307373
Jedności Narodowej - Wyszyńskiego,2,349860,51.12811145398997,17.05474019050598
Jedności Narodowej - Nowowiejska,3,349854,51.12462351680015,17.045599222183228
Dworzec Nadodrze,4,349479,51.12454271204484,17.034999132156372
Żeromskiego - Daszyńskiego,5,349867,51.12557296208677,17.050459384918213
Plac Staszica,6,349850,51.12288618340934,17.03056812286377
Bajana - Szybowcowa,7,349866,51.121323874330685,17.036458253860474
Jedności Narodowej - Oleśnicka,8,349859,51.121256532234305,17.043163776397705
Żeromskiego - Kluczborska,9,349847,51.122387866424724,17.047605514526364
Nowowiejska - Wyszyńskiego,10,349849,51.1222834885376,17.05226182937622
Wyszyńskiego - Prusa,11,349837,51.119431524045254,17.05151081085205
Nowowiejska - Prusa,12,349832,51.11920928565168,17.05654263496399
Plac Bema,13,349848,51.11743807478881,17.041382789611816
Drobnera - Dubois,14,349846,51.11698010808053,17.033389806747437
Sienkiewicza - Wyszyńskiego,15,349835,51.116838676267925,17.05156981945038
Sienkiewicza - Piastowska,16,349834,51.11568363359365,17.060614228248596
Plac Uniwersytecki,17,349852,51.113844934670325,17.034462690353394
Hala Targowa,18,354388,51.11287840974499,17.039633989334103
Kredka i Ołówek,19,354413,51.11390891992754,17.067153453826904
Plac Nowy Targ,20,349874,51.111187784441235,17.03857183456421
Wita Stwosza - Szewska,21,349856,51.1102515151332,17.03505277633667
Rynek,22,354389,51.10971938239645,17.0302677154541
Jana Pawła II,23,354390,51.11143026836378,17.021266222000122
Inowrocławska - Urząd Skarbowy,24,349871,51.11413791906944,17.0137345790863
Zachodnia - Poznańska,25,354397,51.11760644376091,17.007222175598145
Plac Strzegomski,26,354399,51.11346438894182,17.00635313987732
Dworzec Mikołajów,27,354400,51.11533677840705,16.998703479766846
Legnicka - Wejherowska,28,349824,51.12527668338291,16.98439121246338
Strzegomska - Gubińska,29,349883,51.111955645831195,16.960535645484924
Muzeum Narodowe,30,354401,51.11010332688538,17.047863006591797
Uniwersytet Wrocławski - Joliot Curie,31,349827,51.11094529924635,17.052347660064697
Plac Grunwaldzki - Polaka,32,349833,51.110362656007275,17.055496573448178
Rondo Reagana,33,349884,51.112171183577146,17.06024408340454
Smoluchowskiego - Łukaszewicza,34,349825,51.108048849946385,17.06479847431183
Politechnika Wrocławska - Gmach Główny,35,349481,51.10723376985792,17.061327695846558
Mickiewicza - pętla tramwajowa,36,349836,51.11400321382931,17.103824615478516
Teki,37,349870,51.1039396220822,17.084147930145264
Olszewskiego - Spółdzielcza,38,354403,51.1019589785129,17.10146427154541
Plac Legionów,39,354404,51.104384244689136,17.02254295349121
Świdnicka - Chrobry,40,354405,51.104121513665575,17.031673192977905
Teatralna - Piotra Skargi,41,349858,51.10462002766963,17.037112712860107
Traugutta - Pułaskiego,42,349843,51.10443813804785,17.048335075378418
Zaporoska - Grabiszyńska,43,349795,51.10185118595181,17.0137882232666
Świdnicka - Piłsudskiego,44,354406,51.10123811098068,17.02876567840576
Skarbowców - Wietrzna,45,349881,51.07333122768277,16.995055675506592
Dworzec kolejowy - północ,46,349873,51.09965485778756,17.035846710205078
Kościuszki - Pułaskiego,47,349845,51.10022753009522,17.04504132270813
Kościuszki - Komuny Paryskiej/Zgodna,48,349841,51.09891037318256,17.051634192466732
Traugutta - Kościuszki,49,349842,51.09699352280998,17.0562744140625
Dworzec kolejowy - południe,50,349844,51.09695646516561,17.03801929950714
Pereca - Grabiszyńska,51,349789,51.10097536207561,17.0082950592041
Grabiszyńska - Stalowa,52,349581,51.099264089082496,17.000784873962402
Żelazna - Pereca,53,349823,51.09804123119159,17.00680375099182
Zaporoska - Gajowicka,54,349794,51.09722260577026,17.01408863067627
FAT - Grabiszyńska - Hallera,55,349558,51.094790225798505,16.980035305023193
Hallera - Odkrywców,56,349783,51.091191955420186,16.98563575744629
Krucza - Mielecka,57,349787,51.09342911524615,17.002780437469482
Grochowa - Jemiołowa,58,349582,51.09544381415203,17.007962465286255
Zaporoska - Wielka,59,349798,51.09425117690591,17.01447486877441
Park Południowy - Powstańców Śląskich,60,349879,51.07496256893404,17.006921768188477
Arena - Komandorska,61,349886,51.094668940345535,17.026888132095333
Centrum Handlowe Borek,62,349785,51.089264676748826,17.00162172317505
Komandorska - Kamienna,63,349838,51.08992845137241,17.023476362228394
Ślężna - Kamienna,64,349840,51.089756612155334,17.028229236602783
Gliniana - Gajowa,65,349878,51.09156257672623,17.040224075317383
Kamienna - Gajowa,66,349951,51.08774166546555,17.040288448333737
Powstańców Śląskich - Hallera,67,349839,51.08658926519162,17.01230764389038
Armii Krajowej - Borowska,68,349875,51.08346213967434,17.0352566242218
Krynicka,69,349876,51.08016629798973,17.04749822616577
Racławicka - Rymarska,70,349880,51.08013933717133,16.99460506439209
Skytower,71,354360,51.094520702137686,17.020998001098633
Arkady,72,354359,51.099264089082496,17.02756404876709
Promenady Business Park,73,359192,51.12887566759688,17.04499840736389
Aleja Bielany,74,561607,51.048031338767885,16.9643497467041
